subject_number,ignore_sample,test_type,find row by,question type,target_row_up,target_row_down,question_row_up,question_row_down,focus_start,focus_end,question_start,text_order,num of row counting
13,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,16.204,19.678,0.625,6,1
14,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,13.407,21.733,0.625,8,1
15,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,9.59,13.543,0.8219,5,1
16,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,15.8,25.366,0.45752,8,1
17,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,14.39294,19.809,0.33105,3,2
9,1,13pt2sp_hide,number,exist,0.451,0.461,0.674,0.684,51,54.875,41.3125,3,NULL
1,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,47.873,59.373,46.7085,6,0
2,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,6.405,13.75,1.08691,5,0
4,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,35,38.781,25.6875,1,0
6,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,5.166,11.812,1.625,7,0
7,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,11.203,15.75,1.4375,5,0
8,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,5.5,8.25,1.3125,7,0
10,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,5.559,16.462,1.75,3,0
12,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,13.428,29.971,1.5625,2,0
13,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,13.985,23.25,1,5,0
14,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,4.474,10.25,0.75,6,0
15,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,4.63034,10.913,0.42609,7,0
16,0,16pt1.2sp,indented,count,0.363,0.374,0.52,0.532,6.994,12.772,0.8078,7,0
9,1,16pt1.2sp_hide,indented,count,0.363,0.374,0.52,0.532,10.4375,15.75,2.0625,2,NULL
11,1,16pt1.2sp_hide,indented,count,0.363,0.374,0.52,0.532,7.232,9.85,1.25,7,NULL
17,1,16pt1.2sp_hide,indented,count,0.363,0.374,0.52,0.532,7.71875,14.52026,0,1,NULL
1,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,56.638,76.213,47.80811,1,2
2,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,11.399,30.47363,2.99219,3,1
4,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,4,22.031,1.15625,5,0
5,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,9.282,24.156,1.21875,3,1
6,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,36.622,47,28.375,1,1
7,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,10.625,24.437,0.4375,4,2
8,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,31.654,39.6875,24.9375,1,1
10,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,14.983,30.312,0.75,8,1
11,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,15.892,21.987,0.75,3,1
12,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,16.108,28.312,0.6875,3,1
13,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,15.584,24.875,1.375,4,1
14,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,7,21.125,0.5,5,1
15,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,22.47183,33.28186,10.44852,2,2
16,0,20pt1.2sp,number,exist,0.433,0.445,0.68,0.694,16.292,23.202,2.83002,6,1
9,1,20pt1.2sp_hide,number,exist,0.433,0.445,0.68,0.694,6.165,20.25,0.8125,6,NULL
17,1,20pt1.2sp_hide,number,exist,0.433,0.445,0.68,0.694,10,13,6.47388,8,NULL
